Series Name,Series Code,Country Name,Country Code,2013 [YR2013]
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Argentina,ARG,4.48297418283982
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Armenia,ARM,30.609597924773
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Belgium,BEL,51.933311412322
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Bulgaria,BGR,32.9030160904595
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Brazil,BRA,2.56693943320434
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Canada,CAN,15.7698279247877
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,China,CHN,2.05759214542241
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Czech Republic,CZE,35.6836118848654
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Finland,FIN,33.1307630770094
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,France,FRA,74.6757824755096
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Germany,DEU,15.5074963259555
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Hungary,HUN,50.7713143725432
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,India,IND,2.86791567516841
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,"Iran, Islamic Rep.",IRN,2.00243369296263
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Japan,JPN,0.89583714503067
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,"Korea, Rep.",KOR,25.8015099713511
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Mexico,MEX,3.97200744583091
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Netherlands,NLD,2.86592317224288
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Pakistan,PAK,4.86113951490858
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Romania,ROM,19.8476151428181
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Russian Federation,RUS,16.3114404556023
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Slovenia,SVN,33.559171784968
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Slovak Republic,SVK,55.1308129339973
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,South Africa,ZAF,5.5712660747575
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Spain,ESP,20.3136693223525
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Sweden,SWE,43.4271487476394
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Switzerland,CHE,37.7734176295327
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Ukraine,UKR,42.9563358904732
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,United States,USA,19.174774889938
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,United Kingdom,GBR,19.8194556723255
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 11/17/2016,,,,
