Series Name,Series Code,Country Name,Country Code,2013 [YR2013]
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Argentina,ARG,4.48297418283982
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Armenia,ARM,30.609597924773
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Aruba,ABW,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Australia,AUS,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Austria,AUT,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Azerbaijan,AZE,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,"Bahamas, The",BHS,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Bahrain,BHR,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Bangladesh,BGD,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Barbados,BRB,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Belarus,BLR,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Belgium,BEL,51.933311412322
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Belize,BLZ,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Benin,BEN,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Bermuda,BMU,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Bhutan,BTN,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Bolivia,BOL,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Bosnia and Herzegovina,BIH,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Botswana,BWA,0
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Brazil,BRA,2.56693943320434
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,British Virgin Islands,VGB,..
Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Brunei Darussalam,BRN,0
